org_uuid,acquirer_uuid,acquirer_name,acquired_on,price_usd
f9cef18d-5e6c-d844-39d3-b5c45a28f967,e8364b6a-3806-687a-04f5-daad33c28279,ruby,2007-08-01,0.0
af1d348b-a2c5-6c85-c7d6-0708b8cb145e,e8364b6a-3806-687a-04f5-daad33c28279,ruby,2007-08-30,0.0
e636f1d9-f436-fada-29f4-7f898aadda66,c82d802d-5519-9663-0895-5fb717820f33,Omniture,2007-09-11,65000000.0
02902664-ca0f-3bd7-2ba7-c87ff2e92170,c82d802d-5519-9663-0895-5fb717820f33,Omniture,2007-02-14,51500000.0
cd801200-23b9-f6ab-332e-202b783770bd,e8364b6a-3806-687a-04f5-daad33c28279,ruby,2007-08-01,0.0
3248322b-c0d2-6b76-4453-2cc8f2c0da5c,71d51015-1800-ed61-8bc3-8dca49caec15,Yahoo,2008-01-31,160000000.0
354446ed-9a91-8613-b6f9-9da5decbea67,af0a24a1-440c-7da1-0a71-1f56c5ef52c0,Imeem,2008-01-28,0.0
b6038c59-e91c-96a2-0f2a-71b3d82c2ce9,6acfa7da-1dbd-936e-d985-cf07a1b27711,Google,2006-04-09,0.0
7c530dc6-449d-6dce-3b0b-ff455766814b,6acfa7da-1dbd-936e-d985-cf07a1b27711,Google,2003-06-04,0.0
5e96c2a8-d04e-0f06-84da-f4bd4943f74d,af0a24a1-440c-7da1-0a71-1f56c5ef52c0,Imeem,2008-02-01,0.0
d38faa6c-b2f1-e61d-5a37-efa9333963ca,aa1e8e87-3f26-f8be-a22f-f11a71eff0b7,Datran Media,2006-01-01,0.0
f1750623-2409-4dd6-5241-e5ece71c980b,aa1e8e87-3f26-f8be-a22f-f11a71eff0b7,Datran Media,2006-01-01,0.0
8092bd9a-e557-3e59-a509-f964ef3e6493,df282c87-4100-1da4-0b45-431377a4ebb9,Smalltown,2007-12-01,0.0
30195407-6940-aeca-c9b9-b620190e5209,5a6207e2-b868-9f41-5178-8d51d2c40a93,Electronic Arts,1997-07-28,0.0
c80fa7f7-9322-6f98-ae34-0ca819d4cba3,aa1e8e87-3f26-f8be-a22f-f11a71eff0b7,Datran Media,2006-01-01,0.0
d8c0576b-832f-2935-2fd4-7d37f0c2dba3,47ab0bb3-afe3-3bd4-cf50-f834a5a15f06,HomeAway,2005-02-01,0.0
93b3c2c2-a752-893e-489a-fd7ca8904b45,47ab0bb3-afe3-3bd4-cf50-f834a5a15f06,HomeAway,2005-02-01,0.0
83e256cd-4fb0-f91d-e9a3-9c495d34d662,47ab0bb3-afe3-3bd4-cf50-f834a5a15f06,HomeAway,2007-05-11,0.0
7827e73d-a12e-eb84-bde3-d7a6944f1ecd,47ab0bb3-afe3-3bd4-cf50-f834a5a15f06,HomeAway,2005-02-01,0.0
95f3df6c-85de-bf76-ea53-7830f5cd7e29,47ab0bb3-afe3-3bd4-cf50-f834a5a15f06,HomeAway,2007-10-02,0.0
173cb6ac-fc5b-c720-1460-f0fa065208e0,47ab0bb3-afe3-3bd4-cf50-f834a5a15f06,HomeAway,2005-02-01,0.0
1ba61d50-5220-3097-74d7-2017550eacea,47ab0bb3-afe3-3bd4-cf50-f834a5a15f06,HomeAway,2005-02-01,0.0
a94a240a-9929-424b-7aeb-74e3b8d3b2dd,ab121e52-a397-bfd6-2297-8c378befacb8,LiveUniverse,2008-02-14,5000000.0
3fac990c-6956-9a66-23fa-fd6f2f187d05,fd80725f-53fc-7009-9878-aeecf1e9ffbb,Microsoft,2008-02-11,500000000.0
6e3935af-0a15-e195-55d1-eadcee48a1fc,c7420cf5-8369-0c9f-1483-c111c04fa1c7,Renren,2006-10-24,0.0
4b7b9111-5919-bfd8-a11f-436585c61cde,fd80725f-53fc-7009-9878-aeecf1e9ffbb,Microsoft,2008-01-21,0.0
e4182e0e-432f-175d-ab55-8f6f537fe524,d5baee96-359e-6264-7b8e-7f1ca72f6fe8,Ask.com,2001-09-01,0.0
1c252fac-56c1-ff0e-b1af-14a7a80cb076,d5baee96-359e-6264-7b8e-7f1ca72f6fe8,Ask.com,2000-02-01,0.0
9004f081-50bb-9e35-9f92-d12432420fb8,e56b0ceb-bb30-bbec-805e-d5dc7412dcb1,eBay,2007-01-10,310000000.0
c4b83ec4-ae3e-75a2-19b0-44767ab9b03b,e83b8f68-8bc9-6b56-220c-0ffbd470b931,Dell,2008-02-13,155000000.0
0667d38c-e15a-e9d8-7728-b2845e1e46ac,681922e2-e2d2-563e-bdf2-271becff6207,v2 Ventures,2007-11-01,0.0
