person_uuid,institution_uuid,institution_name,degree_type,subject,degree_started_on,degree_completed_on,degree_is_completed
fa983487-c998-ad72-2436-17cb15cd6921,1a380593-fb9d-7f7b-ae67-784ce3ff3690,Rochester Institute of Technology,MBA,Finance,2005-01-01,2006-01-01,True
d661b451-6cfd-876c-416f-742892c1c5c2,6599f877-7c83-0c47-b05b-dbedd3db7b3a,Massachusetts Institute of Technology,MS,Computer Science and Electrical Engineering,1986-01-01,1990-01-01,True
d70b6da4-32a4-2767-5912-4d4018e9411c,1e3fbe3c-f54e-67fb-d061-a46014688186,State University of New York College at Oswego,B.A.,Communications,1994-01-01,1998-01-01,True
fb07bdb9-b842-2d92-410a-9447e0a67026,ad99ee5e-336c-51ec-a7e8-b701e72ed2ac,Allegheny College,BA,BA,1985-01-01,1989-01-01,True
fb07bdb9-b842-2d92-410a-9447e0a67026,1eab62d2-15d9-0db7-930f-2aa77d4688e1,Boston University,MBA,MBA,1977-01-01,1981-01-01,True
100fab16-4426-7bd6-596a-7391c132cc01,d914e869-2cd2-09b1-3d8e-b671b91171ee,Penn State University,BS,Marketing,1994-01-01,1998-01-01,True
1b81d9b0-6228-0f39-613d-c35cfbcbb188,8b23ba01-62ef-39e4-b481-132c021d9ab5,University of Sussex,B.Eng,Computer System Engineering,2000-01-01,2004-01-01,True
1b81d9b0-6228-0f39-613d-c35cfbcbb188,8b23ba01-62ef-39e4-b481-132c021d9ab5,University of Sussex,unknown,Computer Science and Artificial Intelligence,2001-01-01,2005-01-01,True
a3579276-8c10-9240-c29b-3ae7a40bd2c2,6e53090d-0b3f-e8cd-649a-cf9dc46be09f,SUNY College at Geneseo,BA,Philosophy,1996-01-01,2000-01-01,True
36cb504a-5063-925d-183e-2929dc7e7780,52db625d-e7b1-752d-17d3-d0118d1240ea,Pacific Union College,BBA,Finance,2003-01-01,2007-01-01,True
4a088998-8049-bf05-df83-ddf928562439,247ed874-6501-031e-0cce-39d6d0757e36,Manchester University,BA,Modern Languages,1989-01-01,1993-01-01,True
0b6b4654-4116-605d-08a1-ccdb1ad8107b,1fe3a91c-1f94-fecb-3774-b45618c9e4fa,University of Wisconsin-Madison,BA,English & Psychology,1989-01-01,1993-01-01,True
0b6b4654-4116-605d-08a1-ccdb1ad8107b,8d297d1e-3e3d-fadd-2963-57e0a40bff2a,Columbia University,MPA,Telecom & New Media Policy,1994-01-01,1998-01-01,True
431a14fb-286e-db17-c18c-0a85cc2e8d59,20135206-96eb-8be0-9ac4-670b257e532c,Stanford University,M.S.,Computer Science,1991-01-01,1995-01-01,True
31100103-37da-00bf-2880-592ddc890098,f45f25a5-c2de-3cd7-3657-4ff292069cb4,Alliance Manchester Business School,MBA,unknown,2001-01-01,2005-01-01,True
31100103-37da-00bf-2880-592ddc890098,efb8b3c9-60de-dc37-60c1-9437f32eabe9,University of Brighton,B.Eng,Electronics Engineering,1988-01-01,1992-01-01,True
3ca2607c-1480-546d-3d85-acfbde15845c,bda6a1fb-62b4-a091-42c4-b127539e50cd,University of Cambridge,MA,History,1978-01-01,1982-01-01,True
d24f19eb-2284-1dba-93ef-53fd76321ea7,ec74a4ae-156b-5cba-82be-7922964ca376,University of Oxford,M.A,Mathematics,2004-01-01,2007-01-01,True
7d3a41b6-f3ce-7766-5303-14040d32f4a0,867f0af5-a1d0-143d-bbed-5cc252ca40d6,University of Southern California,BS,Business Administration,2000-01-01,2003-01-01,True
c75b2e8b-fc29-730c-2197-f450b9fac503,3eecd7de-745f-8fc7-92e3-6925293eedf7,Auburn University,BS,Wireless Engineering,2002-01-01,2006-01-01,True
3479e306-d553-ebd9-9dd6-4012854a194a,1739831f-34f2-f2cc-31ed-f88744496802,New York University Tandon School of Engineering,MS,Business Management,2003-01-01,2007-01-01,True
ca49534e-9a45-934e-52fb-7c8e3b7a437f,20135206-96eb-8be0-9ac4-670b257e532c,Stanford University,MBA,MBA,1976-01-01,1980-01-01,True
ca49534e-9a45-934e-52fb-7c8e3b7a437f,20135206-96eb-8be0-9ac4-670b257e532c,Stanford University,BA,Economics,1972-01-01,1976-01-01,True
5a6ddea3-1ac9-f49c-1552-75e352181d7c,466ae3b4-06c1-de3c-5956-594a4b059a08,Haverford College,BA,Physics,1990-01-01,1994-01-01,True
6421313b-5586-e207-f9da-3d01172376c9,d8b57c0e-9f0f-4dcb-d207-a12a90c64a2d,Harvard University,MBA,unknown,1995-01-01,1999-01-01,True
6421313b-5586-e207-f9da-3d01172376c9,208fca08-b131-9527-1033-4c433760531a,Duke University,BE,Electrical Engineering,1990-01-01,1994-01-01,True
ac494ed5-6abe-2482-3119-7cf6795dc1e4,f44448e4-ff35-c96a-b7c0-3bd2ebcb4f72,Princeton University,B.A.,History,1987-01-01,1991-01-01,True
9b3c5167-443d-d0a2-5e9b-b5b7610d8fde,d8b57c0e-9f0f-4dcb-d207-a12a90c64a2d,Harvard University,BA,unknown,1974-01-01,1978-01-01,True
4d2d26c3-5514-1fa3-c0c6-71e703944e32,6599f877-7c83-0c47-b05b-dbedd3db7b3a,Massachusetts Institute of Technology,MS,Mechanical Engineering,1988-01-01,1992-01-01,True
fcadaffb-9396-ced5-e55b-5013e20a5689,31e40fb6-b6c5-843e-2eeb-c8d7b1a515bf,University of Warwick,LL.B,Law,1996-01-01,2000-01-01,True
c63dea04-19aa-fa08-2f04-a04148b16540,9542ac68-8db5-147b-fb0b-a70ab78db75d,University College Cork,unknown,MBA,1980-01-01,1984-01-01,True
14be1bbc-279b-7d6a-c547-7036c59933ad,46a977e6-c82b-bb1f-e88c-f6734e01772e,Cardiff University,unknown,BSc (Econ),1987-01-01,1991-01-01,True
