type,org_uuid,went_public_on,share_price_usd,valuation_price_usd,money_raised_usd
ipo,15957761-5c76-4bf0-33cc-b425e0c535cf,2000-05-31,0.0,0.0,0.0
ipo,77be06c2-f7ad-51c2-57be-87b10f9fa7bb,2008-05-09,0.0,0.0,0.0
ipo,d74e826a-d310-9b85-a1e5-bda5b64cadc2,2007-11-07,8.0,92000000.0,80000000.0
ipo,a8f22d87-2189-8ef9-19e3-834c56d9de5f,1996-12-27,0.0,0.0,0.0
ipo,04857c14-d85e-6545-c73b-c432aa45e2a2,1985-11-29,0.0,0.0,0.0
ipo,5949ef87-3506-367b-7a64-60b3e5dfb815,2008-02-15,0.0,0.0,0.0
ipo,6084f505-29a7-ebba-0da5-f58f90771867,1997-09-26,0.0,0.0,0.0
ipo,b4124850-5121-85a5-5273-a123def65831,2000-06-30,7.0,174300000.0,28000000.0
ipo,92376dde-a677-22a7-119f-9605139961ab,1999-01-15,0.0,0.0,0.0
ipo,e0953732-bcbb-d45b-b1a2-bb0c4e34247e,1997-07-08,6.0,25000000.0,10600000.0
ipo,03e7a926-1e8a-f3e2-b693-d79b14809f50,2009-09-24,0.0,380436764.0,0.0
ipo,649c734c-b074-9918-cad0-77d6631961fd,1982-11-05,0.0,0.0,0.0
ipo,3339db07-2237-15e3-7a44-7d2150c98c61,2000-02-25,0.0,0.0,0.0
ipo,4316e23d-1ff3-27c3-c7be-3b1e384a19e3,1993-11-17,0.0,0.0,0.0
ipo,14378dad-bfb5-7519-481e-8f692e8f334b,2004-01-01,0.0,0.0,0.0
ipo,21d7270e-3fb6-323a-4829-b6c62d6d391a,1994-11-25,0.0,0.0,0.0
ipo,71769262-d3b9-a2f9-a7d5-626db2bd2af4,2009-08-06,12.0,348000000.0,57600000.0
ipo,b4fd1fb4-501a-d788-4c42-5a18042da783,2007-08-09,0.0,0.0,0.0
ipo,7ed01dc7-8aed-8795-ae49-13cec8f0544c,1991-12-27,0.0,0.0,0.0
ipo,3a8089a8-8d35-f535-ff04-25030fd53625,2001-01-26,0.0,0.0,0.0
ipo,7a42270c-821d-f470-02d5-103279b57d87,1986-05-23,0.0,0.0,0.0
ipo,3775bd0f-298b-483d-c039-68037dfbd184,1993-09-03,0.0,0.0,0.0
ipo,1ae4170f-8091-2db4-0901-ec5df0b85643,1999-06-30,0.0,0.0,0.0
ipo,0f0c5929-d9ec-252c-6ec4-2d45d0dd8c05,2009-08-12,16.0,1400000000.0,367000000.0
ipo,562b28fa-c622-fca1-fb04-6fe795d6f24f,1978-01-13,0.0,0.0,0.0
ipo,d85fd6ab-075f-86cb-3531-2c6ed0802a31,2000-12-15,0.0,0.0,0.0
ipo,a46f484f-418e-d4e0-29a8-312d514a2f5a,2005-06-03,0.0,0.0,0.0
ipo,4248ffc8-f4fb-8d83-c13e-7fce6c09af74,1978-01-13,0.0,0.0,0.0
ipo,c811d171-1c94-01f8-ede6-62e91548d3ae,2003-01-10,0.0,0.0,0.0
ipo,4e25d15b-f315-647d-30d6-acbaf24e647d,2000-02-08,0.0,0.0,0.0
ipo,fb92667e-2ea0-f1f8-d6db-86047f37006b,2003-01-10,0.0,0.0,0.0
ipo,002f8715-7e27-c7f5-7190-8d2968cf7dc5,2007-06-22,0.0,0.0,0.0
ipo,088ae0b2-6af8-9a60-0619-999cde3a7a84,1999-02-26,15.0,0.0,52500000.0
ipo,5b1d987a-a8a6-3c6b-0273-389bdc0f0417,1997-04-04,0.0,0.0,0.0
ipo,2c127204-1cbf-d7bf-eb84-7f9bc70ea10f,2007-05-25,20.0,842000000.0,100000000.0
ipo,89f8fef5-3b57-978a-7828-1a0e98e4e337,1993-04-08,0.0,0.0,0.0
ipo,f82ed639-b14d-a649-0041-3115e32a0c9e,2004-08-31,0.0,0.0,0.0
ipo,16d4872a-cf42-b250-3b6e-a49efb6b14ff,2007-02-16,0.0,0.0,0.0
ipo,c0ff2c9c-bd00-9a50-58cf-ecea763e5da5,2013-06-21,0.0,0.0,0.0
