org_uuid,org_name,type,parent_uuid,parent_name
e34d52e5-a2d9-ab94-f015-a38925afa351,Songkick,organization,4e68917c-12c2-78c2-2249-33be34ba630f,Warner Music Group
b04f6634-a9f2-868d-d26a-fde29ab6a7a9,Wix,organization,5628f5ea-529b-8e37-0ac0-d3d221c7f95c,God-i
e1ab5d23-2dfd-0a7d-11cc-8295526babdc,JackBe,organization,e876531e-57ba-e3da-94c3-92793f9a943c,Software AG
79435a8f-cf00-02f8-c5db-97fdbf1a8086,BigContacts,organization,4e8e0045-a207-7791-7eab-d5d22df745db,ProProfs
370488d3-188d-8adb-2366-39254feb445a,Sunbridge Partners,organization,5ed2d1ba-1d41-2163-9afa-3c9ad1dfb0cf,SunBridge
50a60dc3-6163-e09e-d501-570791eceb2b,Taobao,organization,17d626a7-27a7-a51b-9337-3839f8ed055e,Alibaba Group
74a20af3-f4dd-6188-de60-c4ee6cd0ca4a,Ant Group,organization,17d626a7-27a7-a51b-9337-3839f8ed055e,Alibaba Group
827b9f49-e324-edb8-e546-8f2f4e69711a,Comcast Ventures,organization,fbc7746d-86e0-8fd6-19d8-69280c686d02,Comcast
71d51015-1800-ed61-8bc3-8dca49caec15,Yahoo,organization,7c28cb05-95bc-4b84-98b1-88064eee80f4,Verizon Media
63b9763a-ee7a-9185-c588-33c4b1629b87,Doughty Hanson & Co,organization,d93109a0-27e8-0a6b-a1a2-f9e25610d0b0,DH Private Equity Partners
c07f0f2c-f9ac-62cf-53d5-2afde0f58ad9,Ben Franklin Technology Partners of Northeastern Pennsylvania,organization,587783a5-94d9-11d2-b4ac-921962270a94,Ben Franklin Technology Partners
f328174b-21d9-5b05-5bd1-fde7dd869b17,SuperMedia,organization,e693e2f0-50bb-05ab-8a27-4078f5dacf11,Verizon
e6b07abf-8839-f1ca-759f-2759dc9a501f,HuffPost,organization,7c28cb05-95bc-4b84-98b1-88064eee80f4,Verizon Media
bda4077e-42ef-6e06-aeea-129cfe56d21a,Amacai,organization,9b98a18e-03ed-b615-8a06-c50a4c0ddb09,Neustar
ea57a598-2a00-8403-a376-f6eb24922a1f,CNET Networks,organization,cd19ea0d-745c-e3b6-d819-30b91caf8ebb,CBS Corporation
389fd398-357d-1a41-3178-01330610b5c0,Amidzad Partners,organization,93c87ab7-7cee-5c54-9941-104693dbbdba,Plug and Play
302aa2b4-6369-a1b3-0a88-669693e026ce,"Shipwire, a CEVA Logistics Company",organization,951b48f1-acb3-a36c-be56-95d82f01544d,CEVA Logistics
7c8f507b-fba8-0c6f-a36a-34ab76b61b4e,Rho Canada Ventures,organization,1dd75c3c-5689-e307-dbc0-fd02ddf309f1,Rho Capital Partners
807acd45-ecc1-9cf3-64a2-3217b01fef0d,WMG Investments,organization,173fea9e-ccd1-2b5d-c615-dba3e5ae137f,Wasserman Media Group
a5b4148f-63c3-29c6-8226-854e5c2ab115,Gilt Groupe,organization,700f9f6d-e6c8-4a29-83d7-f50c59bf1b98,Rue Gilt Groupe
042f33ca-34ca-b1ce-d28a-de06d5e40e5d,BeliefNet,organization,51d72ce7-3075-b4d9-941f-8a90b23c9c14,BN Media
5da34aa2-4f1b-4203-f5be-d7e9b3898a72,EdgeCast,organization,e693e2f0-50bb-05ab-8a27-4078f5dacf11,Verizon
304c06db-48a7-e07c-cfb2-486981a42b49,Jobvite,organization,769295e4-eebf-4f39-9f34-8e9ba52741a9,Employ
17766aa6-2da1-c1eb-d14d-2277ae1f34c7,Bain Capital Ventures,organization,76c64c78-7066-f7ab-72e8-3ba282be0a06,Bain Capital
